catalog: 156 frames, 116 images (20 colour)
building 156 frames with 1 job(s)
id           seed      detected     delta  period96  jit96  noise  alt96    trace0  qual   comp  dot    peak    KiB     s
flac total 83.7 MB, mean 524 KiB/frame
quality.py composite over 156 scored frames: mean 78.4  median 82.8  min 14.9  max 98.1
dot clock locked on 90/156 frames (fallback binning on 66)
wall clock 39.2 s
catalog.json: 156 frames, 116 images -> /Users/josh/code/golden-record-images/web/public/data/catalog.json (65 KiB)
build report -> /Users/josh/code/golden-record-images/data/build_report.json
contact sheet: 156 tiles -> /Users/josh/code/golden-record-images/data/contact_sheet.png (4.1 MB)
582 presentation fields applied to the catalogue
rotations restored: [11, 12, 27, 28, 51, 116]
20/20 colour images registered -> data/thumbs_reg
  largest correction applied: 97.21 px
  plane disagreement (band-passed, lower is better):
    before 0.54432   after 0.46136   (-15.2%)
  improved on 18/20 images

  largest misalignments found:
    image   8  97.21 px  shifts [(-0.56, -96.65), (-0.25, 0.66)]  NO IMPROVEMENT
    image  60  2.48 px  shifts [(-2.27, -0.21), (-0.05, 0.55)]  improved
    image 114  1.83 px  shifts [(0.54, 0.92), (-0.7, 1.13)]  improved
    image  94  1.80 px  shifts [(-1.34, -0.46), (-0.52, 0.41)]  improved
    image  49  1.64 px  shifts [(1.44, -0.2), (1.06, 0.28)]  improved
    image 112  1.46 px  shifts [(0.25, -0.18), (-0.61, -0.85)]  improved

  ESTIMATE REJECTED on images [8] and shipped unregistered: the shift exceeded 8 px, which is not a large misalignment but a failed estimate (measured worst case is 2.26 px).
cache /Users/josh/code/golden-record-images/data/cache/n2n_triplets.npz missing; decoding 57 frames from the master (a few minutes, once)
  cached image  12  L013-L015  dy,dx 1->2 +0.16,+0.63  3->2 -0.44,-0.39
  cached image  13  L016-L018  dy,dx 1->2 +0.10,-0.38  3->2 -0.05,-0.13
  cached image  23  L028-L030  dy,dx 1->2 +0.26,-0.67  3->2 -0.18,+0.55
  cached image  34  L041-L043  dy,dx 1->2 +0.34,-0.51  3->2 -0.29,+0.33
  cached image  35  L044-L046  dy,dx 1->2 +0.40,+0.03  3->2 -0.29,+0.09
  cached image  36  L047-L049  dy,dx 1->2 +0.29,+0.12  3->2 -0.22,-0.34
  cached image  45  L058-L060  dy,dx 1->2 +0.32,+0.91  3->2 -0.32,-0.30
  cached image  46  L061-L063  dy,dx 1->2 +0.31,+0.36  3->2 -0.53,-0.47
  cached image  48  L065-L067  dy,dx 1->2 +0.45,+0.19  3->2 -0.62,-0.06
  cached image  49  L068-L070  dy,dx 1->2 +0.20,+1.44  3->2 -0.28,+1.06
