catalog: 156 frames, 116 images (20 colour)
building 156 frames with 2 job(s)
id           seed      detected     delta  period96  jit96  noise  alt96    trace0  qual    peak    KiB     s
R051    119209232   119209106.5    -125.5   798.626   0.95   0.59   +0.8  2000.331  0.97  0.4071    527   0.5
R052    121420140   121419978.5    -161.5   798.641   1.00   0.64   +1.0  1999.191  0.94  0.3264    564   0.2
R053    123683834   123683728.6    -105.4   798.618   1.03   0.61   +0.9  1999.191  0.93  0.3406    554   0.2
R054    125970093   125969987.2    -105.8   798.561   1.07   0.80   +0.9  1999.033  0.96  0.4209    522   0.2
R055    128152296   128152130.2    -165.8   798.563   1.29   0.69   +1.1  1999.266  0.94  0.3340    532   0.3
R056    130242769   130242642.6    -126.4   798.572   1.16   0.61   +1.0  2000.060  0.96  0.3103    528   0.6
R057    132459619   132459521.2     -97.8   798.545   1.02   0.66   +1.0  1999.122  0.96  0.3506    512   0.3
R058    134681995   134681889.2    -105.8   798.552   0.83   0.58   +0.8  1999.048  0.97  0.2907    576   0.3
R059    136893398   136893254.2    -143.8   798.544   2.18   0.54   +0.7  2000.545  0.88  0.3752    535   0.3
R060    139076027   139075916.8    -110.2   798.519   1.09   0.63   +1.0  2000.985  0.97  0.3776    509   0.3
R061    141253978   141252506.9   -1471.1   798.514  14.73   3.68   -0.2  2000.880  0.77  0.2910    536   0.3
R062    143451591   143451485.0    -106.0   798.524   0.97   0.64   +1.0  2001.004  0.97  0.2875    524   0.4
R063 !  145732994   145732257.8    -736.2   798.539  12.63  11.32  -24.7  1987.357  0.83  0.2860    532   0.4
R064    147973714   147973528.1    -185.9   798.492   0.85   0.54   +0.7  1999.937  0.97  0.4246    549   0.4
R065    150181879   150181760.3    -118.7   798.486   0.94   0.58   +0.8  1999.965  0.97  0.4170    517   0.2
R066    152395129   152394975.9    -153.1   798.474   1.47   0.86   +1.3  2000.013  0.85  0.3768    537   0.3
R067    154661135   154660998.1    -136.9   798.435   1.82   0.82   +1.0  2000.382  0.94  0.3663    507   0.6
R068    156922696   156922394.2    -301.8   798.444   1.09   0.65   +1.0  1999.863  0.96  0.4043    527   0.4
R069    159286101   159285978.6    -122.4   798.416   2.80   0.63   +0.9  2001.732  0.92  0.3173    536   0.5
R070    161513345   161513239.2    -105.8   798.386   1.47   0.72   +1.2  1999.869  0.95  0.3938    513   0.6
R071    163950703   163950549.0    -154.0   798.391   1.42   0.91   +1.3  1999.699  0.96  0.3911    506   0.6
R072    166117409   166117306.4    -102.6   798.391   0.99   0.68   +1.0  1999.784  0.95  0.2807    525   0.3
R073    168312560   168312465.6     -94.4   798.355   1.14   0.61   +0.9  2000.774  0.96  0.2673    560   0.3
R074    170582063   170581924.3    -138.7   798.321   2.07   1.03   +0.1  1999.871  0.94  0.4191    500   0.3
R075    172735515   172735398.2    -116.8   798.314   2.26   0.66   +1.0  1999.051  0.93  0.2988    504   0.3
R076    174907808   174907665.3    -142.7   798.319   1.34   0.67   +1.0  1999.764  0.91  0.4314    514   0.2
R077    177084886   177084578.4    -307.6   798.338   2.30   0.86   +1.0  2000.410  0.92  0.4359    512   0.5
low-confidence timebase (measurement noise > 5.0 samples at 96 kHz): 5 frames L023 L028 R039 R044 R063

frames ok 156   failed 0
detected - Barry seed, in 384 kHz samples (1 line = 3197.4):
    signed: mean   -172.3   sd   229.1   min  -1471.1   max  +1282.1
    |delta|: median   150.3   max  1471.1   rms   286.6   (4.7% of a line)
    after removing the median offset (i.e. Barry's hand-tuning scatter):
        median    31.7   max  1431.5   rms   230.2
        <=    8 samples:  27/156  (17%)
        <=   50 samples: 115/156  (74%)
        <=  200 samples: 146/156  (94%)
        <=  800 samples: 152/156  (97%)
        <= 1599 samples: 156/156  (100%)
odd/even trace alternation (Barry's hardcoded fudge): median 1.0, max 25.3 samples at 96 kHz
fitted line period x4: mean 3195.091  sd 1.109  min 3193.179  max 3197.823  (nominal 3197.4)
trace 0 lands at leadIn +- 63.84 samples (96 kHz) worst case over the 151 confident frames, 278.29 including the 5 flagged
flac total 84.7 MB, mean 530 KiB/frame
wall clock 37.1 s
catalog.json: 156 frames, 116 images -> /Users/josh/code/golden-record-images/web/public/data/catalog.json (60 KiB)
build report -> /Users/josh/code/golden-record-images/data/build_report.json
contact sheet: 156 tiles -> /Users/josh/code/golden-record-images/data/contact_sheet.png (3.3 MB)
